|Nom|Format|Description|Prix/QTE|Prix
105|Spécialité laitière sur lit de fruits de la passion, 0% de mat. Gr|Les 4 pots de 100g|[Origine : FRANCE, lait ÍcrÍmÍ  sucre (7,8%) fruits de la passion (5%) jus de fruits de lapassion Å base de concentrÍ (4,3%) Ípaississants: amidon modifiÍ (E1422), pectine  (E440), gomme guar(E412) jus de citron concentrÍ correcteur d'aciditÍ: citrate de sodium (E331)concentrÍ des minÍraux du lait ferments lactiques (lait) ar«me naturel, Glucides : 12,2G, Lipides : 0,1G, Protides :8,1G]|"
6,23€ / Kg"|##
106|Spécialité laitière sur lit de mangue, 0% de mat. Gr|Les 4 pots de 100g|[Origine : FRANCE, lait ÍcrÍmÍ  mangue(10%) sucre (6,3%) sucre liquide (1,3%) Ípaississants: amidon transformÍ (E1442), carraghÍnanes (E407), gomme guar(E412) jus concentrÍ de citron concentrÍ des minÍraux du lait concentrÍ de carotte et de citrouille ferments lactiques (lait) ar«me naturel (lait) correcteur d'aciditÍ: citrate de sodium (E331), Glucides : 11,6G, Lipides : 0,2G, Protides :7,9G]|"
6,23€ / Kg"|##
107|Spécialité laitière sur lit de myrtilles, 0% de mat. Gr|Les 4 pots de 100g|[Origine : FRANCE, lait ÍcrÍmÍ  myrtille(10%) sucre (7,9%) Ípaississants: amidon transformÍ(E1422), pectine (E440), gomme guar(E412) ar«me naturel jus de citron concentrÍ concentrÍ des minÍraux du lait correcteur d'aciditÍ: citrate de sdium (E331) ferments lactiques (lait), Glucides : 12,1G, Lipides : 0,1G, Protides :7,9G]|"
6,23€ / Kg"|##
110|Petit gervais aux fruits|Les 18 pots de 50g|[Origine : FRANCE]|"
2,99€ / Kg"|##
119|Choux-fleurs, carottes, pois gourmands et courgettes, cuisson vapeur|La boîte de 400g|[Origine : ALLEMAGNE, Découvrez cette sélection de légumes du jardin: choux-fleurs et jeunes carottes accompagnés de courgette et pois croquants en gousse, le tout délicatement assaisonné.  Cuisson vapeur: Les légumes cuisent à la vapeur dans leur sachet en quelques minutes au micro-ondes. Délicatement assaisonnés, leur goût et leur saveur sont parfaitement restitués., Préparation au micro-ondes: pour un résultat optimal. Inutile de décongeler. Placez le(s) sachet(s), sans le(s) percer, sur une assiette adaptée au micro-ondes la face imprimée tournée vers le haut. Chauffez selon le tableau. Sortez l'assiette du micro-ondes et laissez reposer quelques instants. Tenez le(s) sachet(s) par une extrémité et ouvrez-le(s) à l'aide de ciseaux. Mélangez bien l'assaisonnement et les légumes afin qu'ils se marient parfaitement. Attention, le contenu et le(s) sachet(s) sont très chauds. Préparation à la casserole: versez le contenu du sachet ou des sachets dans une casserole avec 1 à 2 cuillèrées d'eau, laissez cuire à feu moyen 3 à 4 mn pour un sachet, 5 à 6mn pour deux sachets.  Ne jamais recongeler un produit décongelé., Au réfrigérateur: +/- 24 heures. Dans le compartiment à glace: 1 semaine. Au congélateur à -18°C: plusieurs mois.]|"
7,28€ / Kg"|##
172|Gaufre de liege au chocolat|Le sachet de 7 pieces 362,6g|[Origine : FRANCE, Nos gaufres de Liège sont élaborées au coeur du terroir Belge, sans colorants ni conservateurs, à partir d'ingrédients sélectionnés avec soins pour leur qualité pâtissière., Farine de blé tendre, perles de sucre (18%), huiles végétales (palme, colza), chocolat belge (13%) (sucre, pâte de cacao, beurre de cacao, graisse butyrique (lait), émulsifiant (lécithine de soja et E476)), sirop de glucose-fructose, oeufs frais (4%), levure, émulsifiant (mono- et diglycérides d'acides gras, stéaroyl-2-lactylate de sodium, lécithine de soja), sel, arôme.  Recette garantie sans ajout de colorants ni conservateurs.]|"
8,02€ / Kg"|##
173|Gaufre de liege perles de sucre|le sachet 7x45g|[Origine : FRANCE, Nos gaufres de Liège sont élaborées au coeur du terroir Belge, sans colorants ni conservateurs, à partir d'ingrédients sélectionnés avec soins pour leur qualité pâtissière., Farine de blé tendre, perles de sucre (21%), huiles végétales (palme, colza), sirop de glucose-fructose, oeufs frais (5%), levure, émulsifiant (mono- et diglycérides d'acides gras, stéaroyl-2-lactylate de sodium, lécithine de soja), sel, arôme. Fabriqué dans un atelier qui utilise : lait. Recette garantie sans ajout de colorants ni conservateurs.]|"
7,65€ / Kg"|##
222|Jus de pomme et framboise, 100% pur jus|La bouteille de 900ml|[Origine : FRANCE, Ce jus contient 7 pommes pressées et 30 framboises. Il ne contient pas de concentré., Secouez avant ouverture, pas après., 7 pommes pressées (91%), 30 framboises mixées (9%)., A garder au réfrigérateur entre 0°C et 8°C avant et après ouverture. A boire dans les 4 jours après ouverture.]|"
2,83€ / L"|##
223|Pur jus poire, pomme, pêche|La bouteille de 900ml|[Origine : FRANCE]|"
2,83€ / L"|##
262|Déodorant anti-transpirant 24h, protection anti-humidité|Le roll-on de 50ml|[Origine : FRANCE, Protection anti-humidité. Aux minéraux. Restez sec., Aqua, aluminum chlorohydrate, PPG-15 stearyl ether, steareth-2, steareth-21, parfum, persea gratissima oil, magnesium aluminum silicate, trisodium EDTA, linalool, benzyl alcohol, limonene. 0% alcohol., 12 mois après ouverture.]|"
85,40€ / L"|"
4,27 €"
