|Nom|Format|Description|Prix/QTE|Prix
89|Yaourt à la Grecque sur lit aux framboises|Les 2 pots de 150g, soit 300g|[Origine : FRANCE, Yaourt brassé nature sucré sur préparation de framboises, aromatisée., Yaourt brassé nature sucré 80% (lait entier, crème, sucre 6%, ferments lactiques (dont lait), protéines de lait et lactose), préparation aux framboises et arômes 20% (framboises 12%, eau, sucre, fructose, amidon transformé de maïs, colorant : anthocyanes, arômes, épaississants : gomme guar, gomme xanthane, conservateur : sorbate de potassium)., Valeur énergétique en Joules :  527kj, Valeur énergétique en Kcal : 126kcal, Glucides : 14g, Lipides : 6,7g, Protides :2,2g, A conserver entre 0°C et +6°C.]|"
4,57€ / Kg"|"
1,37 €"
92|Minis danio framboise 4x100g|Les 4 pots de 100g|[Origine : FRANCE, Lait ÍcrÍmÍ  framboise (10%) crÈme (lait) sucre (6,3%) sucre liquide (1%) Ípaississants: amidon transformÍ (E1442), carraghÍnanes (E407), gomme guar(E412) jus de carotte pourpre concentrÍ ar«me naturel concentrÍ des minÍraux du lait ferments lactiques (lait) correcteur d'aciditÍ: citrate de calcium (E331) jus de citron concentrÍ, Glucides : 10,7G, Lipides : 2,4G, Protides :7,3G]|"
6,23€ / Kg"|##
93|Spécialité laitière sur lit de fraises, 0% de mat. Gr|Les 4 pots de 100g|[Origine : FRANCE, lait ÍcrÍmÍ  fraise (10%) sucre (6,3%) sucre liquide (2%) Ípaississants:amidon transformÍ  (E1442), carraghÍnanes (E407), gomme guar(E412) akÈnes de fraise jus de carotte concentrÍ ar«me naturel (lait) concentrÍ des minÍraux du lait ferments lactiques (lait) jus de citron concentrÍ correcteur d'aciditÍ: citrate de sodium, Glucides : 11,6G, Lipides : 0,1G, Protides :7,9G]|"
6,23€ / Kg"|##
94|Spécialité laitière sur lit de fruits de la passion, 0% de mat. Gr|Les 4 pots de 100g|[Origine : FRANCE, lait ÍcrÍmÍ  sucre (7,8%) fruits de la passion (5%) jus de fruits de lapassion Å base de concentrÍ (4,3%) Ípaississants: amidon modifiÍ (E1422), pectine  (E440), gomme guar(E412) jus de citron concentrÍ correcteur d'aciditÍ: citrate de sodium (E331)concentrÍ des minÍraux du lait ferments lactiques (lait) ar«me naturel, Glucides : 12,2G, Lipides : 0,1G, Protides :8,1G]|"
6,23€ / Kg"|##
95|Spécialité laitière sur lit de mangue, 0% de mat. Gr|Les 4 pots de 100g|[Origine : FRANCE, lait ÍcrÍmÍ  mangue(10%) sucre (6,3%) sucre liquide (1,3%) Ípaississants: amidon transformÍ (E1442), carraghÍnanes (E407), gomme guar(E412) jus concentrÍ de citron concentrÍ des minÍraux du lait concentrÍ de carotte et de citrouille ferments lactiques (lait) ar«me naturel (lait) correcteur d'aciditÍ: citrate de sodium (E331), Glucides : 11,6G, Lipides : 0,2G, Protides :7,9G]|"
6,23€ / Kg"|##
96|Spécialité laitière sur lit de myrtilles, 0% de mat. Gr|Les 4 pots de 100g|[Origine : FRANCE, lait ÍcrÍmÍ  myrtille(10%) sucre (7,9%) Ípaississants: amidon transformÍ(E1422), pectine (E440), gomme guar(E412) ar«me naturel jus de citron concentrÍ concentrÍ des minÍraux du lait correcteur d'aciditÍ: citrate de sdium (E331) ferments lactiques (lait), Glucides : 12,1G, Lipides : 0,1G, Protides :7,9G]|"
6,23€ / Kg"|##
99|Petit gervais aux fruits|Les 18 pots de 50g|[Origine : FRANCE]|"
2,99€ / Kg"|##
108|Choux-fleurs, carottes, pois gourmands et courgettes, cuisson vapeur|La boîte de 400g|[Origine : ALLEMAGNE, Découvrez cette sélection de légumes du jardin: choux-fleurs et jeunes carottes accompagnés de courgette et pois croquants en gousse, le tout délicatement assaisonné.  Cuisson vapeur: Les légumes cuisent à la vapeur dans leur sachet en quelques minutes au micro-ondes. Délicatement assaisonnés, leur goût et leur saveur sont parfaitement restitués., Préparation au micro-ondes: pour un résultat optimal. Inutile de décongeler. Placez le(s) sachet(s), sans le(s) percer, sur une assiette adaptée au micro-ondes la face imprimée tournée vers le haut. Chauffez selon le tableau. Sortez l'assiette du micro-ondes et laissez reposer quelques instants. Tenez le(s) sachet(s) par une extrémité et ouvrez-le(s) à l'aide de ciseaux. Mélangez bien l'assaisonnement et les légumes afin qu'ils se marient parfaitement. Attention, le contenu et le(s) sachet(s) sont très chauds. Préparation à la casserole: versez le contenu du sachet ou des sachets dans une casserole avec 1 à 2 cuillèrées d'eau, laissez cuire à feu moyen 3 à 4 mn pour un sachet, 5 à 6mn pour deux sachets.  Ne jamais recongeler un produit décongelé., Au réfrigérateur: +/- 24 heures. Dans le compartiment à glace: 1 semaine. Au congélateur à -18°C: plusieurs mois.]|"
7,28€ / Kg"|##
161|Gaufre de liege au chocolat|Le sachet de 7 pieces 362,6g|[Origine : FRANCE, Nos gaufres de Liège sont élaborées au coeur du terroir Belge, sans colorants ni conservateurs, à partir d'ingrédients sélectionnés avec soins pour leur qualité pâtissière., Farine de blé tendre, perles de sucre (18%), huiles végétales (palme, colza), chocolat belge (13%) (sucre, pâte de cacao, beurre de cacao, graisse butyrique (lait), émulsifiant (lécithine de soja et E476)), sirop de glucose-fructose, oeufs frais (4%), levure, émulsifiant (mono- et diglycérides d'acides gras, stéaroyl-2-lactylate de sodium, lécithine de soja), sel, arôme.  Recette garantie sans ajout de colorants ni conservateurs.]|"
8,02€ / Kg"|##
162|Gaufre de liege perles de sucre|le sachet 7x45g|[Origine : FRANCE, Nos gaufres de Liège sont élaborées au coeur du terroir Belge, sans colorants ni conservateurs, à partir d'ingrédients sélectionnés avec soins pour leur qualité pâtissière., Farine de blé tendre, perles de sucre (21%), huiles végétales (palme, colza), sirop de glucose-fructose, oeufs frais (5%), levure, émulsifiant (mono- et diglycérides d'acides gras, stéaroyl-2-lactylate de sodium, lécithine de soja), sel, arôme. Fabriqué dans un atelier qui utilise : lait. Recette garantie sans ajout de colorants ni conservateurs.]|"
7,65€ / Kg"|##
166|Ananas en tranches au sirop léger|Les 3 boîtes de 225g|[Origine : FRANCE, Pour une alimentation équilibrée , les experts recommandent de consommer 5 fruits et légumes par jour qu'ils soient frais , cuits , surgelés ou en conserve., Ananas , eau , sucre , acidifiant : acide citrique. Sans conservateur ., Valeur énergétique en Joules :  250Kj, Valeur énergétique en Kcal : 59Kcal, Glucides : 14g, Lipides : 0,2g, Protides :0,3g]|"
4,96€ / Kg"|"
3,35 €"
167|Pêches demi-fruits au sirop|La boîte de 850g|[Origine : FRANCE, Pour una alimentation équilibrée les experts recommandent de consommer 5 fruits et légumes par jour qu'ils soient frais , cuits , surgelés ou en conserve., Oreillons de pêches Pavie , eau , sirop de glucose-fructose , sucre , acidifiant : acide citrique.Sans conservateur., Valeur énergétique en Joules :  298Kj, Valeur énergétique en Kcal : 70KCal, Glucides : 17g, Lipides : 0,1g, Protides :0,3g]|"
3,21€ / Kg"|"
2,73 €"
170|Farine fluide|Le paquet de 1kg|[Origine : FRANCE, Cette farine associe tous les intérêts nutritionnels des meilleurs blés : des protéines végétales, des glucides d'assimilation lente et des fibres indispensables à notre équilibre alimentaire.]|"
1,10€ / Kg"|"
1,10 €"
171|Levure boulangère|La boîte de 6 sachets de 5g|[Origine : FRANCE, Levure boulangère spéciale pains et brioches., En machine à pain : 1 sachet de Ma Levure boulangère Francine pour un pain de 750 g. 2 sachets de Levure Boulangère Francine pour un pain de 1 kg et plus. Les conseils en cas de départ différé : respecter l'ordre des ingrédients indiqué dans les modes d'emploi des farines à pain Francine. Eviter que la levure ne rentre en contact avec le liquide ou le sel. A la main : 2 sachets de Levure Boulangère Francine pour un pain de 750 g et plus., Levure boulangère instantanée, émulsifiant : E491., A conserver dans un endroit sec et frais. Après ouverture, refermer soigneusement et conserver 12 h au réfrigérateur. Produit conditionné sous atmosphère protectrice.]|"
52,67€ / Kg"|"
1,58 €"
172|Préparation à base de sucre en grain arôme Guimauve|Le flacon de 80g|[Origine : FRANCE]|"
47,00€ / Kg"|"
3,76 €"
173|Gélifiant à la pectine de fruits pour confitures, gelées et pâtes de fruits|Les 5 sachets, 188g|[Origine : FRANCE, Vitpris contient de la pectine de fruits, un élément naturel pour des confitures bien prises. Une confiture réussie est une confiture bien prise. C'est la pectine contenue dans les fruits qui permet aux confitures de 'prendre', mais souvent, les fruits ne sont pas assez riches en pectine et une cuisson prolongée est donc nécessaire pour obtenir une confiture bien prise. Vitpris est un produit à base de pectine de fruits. Cette pectine ajoutée aux fruits au moment de la préparation de la confiture permet une prise rapide et facile. Le temps de cuisson est donc réduit., dextrose, gélifiant : pectine de fruits (18%), acidifiant : acide citrique, huile végétale. Traces : blé.]|"
21,86€ / Kg"|"
4,11 €"
174|Sucre de canne en poudre, brut non raffiné, certifié AB|Le paquet de 500g|[Origine : FRANCE, Blonvilliers étant aujourd'hui sa gamme en vous offrant un sucre biologique certifié commerce équitable. Blondvilliers Blond de Canne ne subit pas de raffinage., Sucre brut de canne bio.]|"
4,78€ / Kg"|"
2,39 €"
175|Sucre blanc de canne en petits morceaux, spécial café|La boîte de 1kg|[Origine : FRANCE, Sélection pure canne.]|"
2,38€ / Kg"|"
2,38 €"
177|Sucre blanc en morceau, 50% plus petit, aux extraits de plantes de Stévia|La boîte de 250g|[Origine : FRANCE, 1 morceau de Ligne aux extrais de plantes de Stévia sucre autant qu'un morceau de sucre habituel. La Stévia est une plante reconnue pour son pouvoir sucrant exceptionnel sans calories.50% plus petit qu'un morceau habituel pour le même pouvoir sucrant., Sucre (99,7%), édulcorant (0,3%) : rébaudioside A (extraits de Stévia Rebaudiana), arôme naturel., Valeur énergétique en Joules :  1700kj, Valeur énergétique en Kcal : 400kcal, Glucides : 99,7g, Lipides : 0g, Protides :0g]|"
11,76€ / Kg"|"
2,94 €"
178|Sirop d'Agave|Le flacon de 500ml|[Origine : FRANCE, Le sirop d'agave est la sève d'un cactus mexicain. C'est un sucre non raffiné qui représente une véritable alternative au sucre blanc., *100% sirop d'agave concentré. *Ingrédient d'origine agricole obtenu selon les règles de la production biologique., Valeur énergétique en Joules :  1800kj, Valeur énergétique en Kcal : 420kcal, Glucides : 106g, Lipides : 0,5g, Protides :0,5g]|"
15,22€ / L"|"
7,61 €"
179|Edulcorant de table, recharge pour distributeur|La boîte de 600 comprimés, 51g|[Origine : FRANCE, Grâce à sa recette unique, vous permet d'apporter un bon goût sucré à vos boissons chaudes en toute légèreté et en toute circonstance., Ouvrir la partie supérieure du boîtier vide. Verser le contenu du sachet puis refermer avec la partie supérieure rouge. Votre boîtier est prêt à l'emploi.]|"
0,01€ / Pce"|"
6,09 €"
180|Noisettes grillées en poudre, Sans colorant ni conservateur|Le sachet de 125g|[Origine : FRANCE, Vahiné a sélectionné ces noisettes pour garantir ce goût unique. Leur fine poudre apportera à vos préparations une saveur boisée et une consistance moelleuse. Vahiné, c'est gonflé !, Noisettes grillées en poudre. Conditionné dans un atelier travaillant d'autres fruits secs à coque., Après ouverture, nous vous conseillons de refermer le sachet, de le conserver dans un endroit frais et sec et de le consommer sous 15 jours.]|"
36,64€ / Kg"|"
4,58 €"
181|Gélatine alimentaire en feuilles|Les 9 feuilles, 17g|[Origine : FRANCE, Vahiné vous propose de la gélatine en feuilles pour vous permettre de réussir facilement vos mousses, bavarois, charlottes, gelées et terrines de fruits.La gélatine alimentaire vous aide à diminuer la valeur calorique de vos desserts : moins de sucre, moins de beurre. Gélatine propre à la consommation humaine., Faites tremper les feuilles de gélatine dans de l'eau froide pendant 5 à 10min. Egouttez-les quelques secondes dans une passoire. Incorporez-les à votre préparation chaude, mais non bouillante. Remuez jusqu'à complète dissolution., Gélatine alimentaire en feuilles origine porcine., A conserver à l'abri de la chaleur et de l'humidité.]|"
118,24€ / Kg"|"
2,01 €"
182|Levure chimique, poudre à lever|Les 5 sachets de 11g|[Origine : FRANCE, Poudres à lever : pyrophosphate disodique et bicarbonate de sodium, amidon de blé.]|"
12,91€ / Kg"|"
0,71 €"
183|Fruits au four caramel|La boite de 150g|[Origine : FRANCE, Un produit innovant et simple d'utilisation que le consommateur peut ajuster à sa guise (par le choix des fruits). Une utilisation du sachet cuisson particulièrement tendance actuellement., Eplucher 4 fruits selon le tableau de recommandation sur le pack. Verser l'intégralité du sachet de sauce dans un bol et ajouter de l'eau selon la quantité indiquée sur le pack. Mettre vos fruits et la sauce dans un sachet de cuisson et mettre le tout au micro-onde (respecter le temps indiqué sur le pack). Sortez l'assiette avec des gants et couper le sachet avec des ciseaux. Mettre le contenu du sachet dans une assiette., Sucre, caramel : 25% (sucre, eau), beurre : 2,5%, amidon, beurre de cacao, lait écrémé, épaississant, gomme de xanthane, arôme caramel., Valeur énergétique en Joules :  1800kj, Valeur énergétique en Kcal : 420kcal, Glucides : 94g, Protides :0,5g, A consommer dans les 48h qui suivent la préparation.]|"
22,60€ / Kg"|"
3,39 €"
184|Préparation Cookies Eclats de chocolat blanc & pralines roses|Le kit pour 12 cookies, soit 395g|[Origine : FRANCE, Kit pour 12 cookies prêt en 5 min., Ingrédients à ajouter : 75 g de beurre + 1 oeuf. Préchauffez le four à 180°C (th6) et recouvrez la grille avec du papier cuisson. Mélangez dans un saladier, le beurre fondu et l'oeuf, puis incorporer le contenu de la boite. Formez 12 boules de pâte et déposez les sur le papier en les espaçant de 4 cm. Enfournez et laissez cuire 12 à 15 min. Laissez refroidir avant de déguster le bon goût du fait maison., Farine de blé, sucre semoule, éclats de chocolat blanc (sucre, poudre de lait entier, beurre de cacao, lait écrémé en poudre, émulsifiant : lécithine de soja, vanille naturelle), pralines roses (sucre, amandes 20%, sirop de glucose, colorant E129, amidon, huile de palme), levure (pyrophosphate acide de sodium, bicarbonate de soude, amidon de blé). Sans conservateur, sans arôme artificiel., Valeur énergétique en Joules :  1772, Valeur énergétique en Kcal : 424, Glucides : 70.4, Lipides : 16.1, Protides :7.2, Conserver dans un endroit sec à l'abri de la chaleur.]|"
18,23€ / Kg"|"
7,20 €"
185|Pâte à sucre pour déco, rose pâle|Le sachet de 250g|[Origine : DANEMARK]|"
16,72€ / Kg"|"
4,18 €"
187|Alsa sucre petillant 30g|La boite de 30g-3sachets|[Origine : FRANCE, A saupoudrer juste avant de déguster sur vos fruits frais, vos mousses au chocolat et vos yaourts pour un crépitement en bouche qui fera sourire petits et grands., Sucre (60%), sirop de glucose, lactose (lait), dioxyde de carbone, amidon de riz., Produit sensible à l'humidité. A consommer en totalité juste après ouverture.]|"
112,33€ / Kg"|"
3,37 €"
188|Arôme amande amère|Le blister de 20ml|[Origine : FRANCE, A consommer, uniquement après dilution dans votre préparation. Ne pas verser l'arôme dans un récipient placé sur le feu., Arôme amande amère. Huile de tournesol, arômes.]|"
83,50€ / L"|"
1,67 €"
189|Arôme vanille|Le flacon de 200ml|[Origine : FRANCE, Vahiné vous propose une gamme de 6 arômes faciles à utiliser : café, citron, orange, amande amère, fleurs d'oranger et vanille.Délicieusement parfumés et faciles à utiliser, ils apportent une note magique à de nombreux desserts., Arôme alimentaire à consommer uniquement après dilution dans votre recette. Pour une préparation (pâte à crêpes, salades de fruits, compotes, quatre quarts, ) de 4 à 6 personnes, ajoutez 1 à 2 cuillères à soupe maximum d'arôme vanille., Eau, sucre, sirop de glucose, arôme, monopropylène glycol.]|"
21,00€ / L"|"
4,20 €"
190|Bougies effilées|Les 12 bougies|[Origine : FRANCE, Durée de combustion : 15min. Supports garantis contact alimentaire., Ne jamais laisser brûler les bougies sans surveillance ou à proximité d'objets inflammables. Tenir ce produit hors de la portée des enfants et des animaux domestiques. Veiller à ce que les supports ne soient pas avalés. Bien fixer les bougies de façon verticale sur le gâteau. S'assurer qu'il y a au moins 2.5cm entre chaque bougie. Eteindre les bougies quand elles atteignent 1cm. Vérifier qu'elles soient bien éteintes avant de les jeter. Ôter les gouttes de cire éventuellement tombées sur le gâteau.]|"
2,32€ / Pce"|"
2,32 €"
191|Crayon pâtissier au chocolat et noisette|Le tube de 23g|[Origine : FRANCE, Préparez un gâteau au yaourt ou au chocolat selon votre choix. Laissez refroidir. Pendant ce temps, préparez le glaçage blanc comme suit : Mélangez 1 blanc d'oeuf à 200g de sucre glace Vahiné. Ajoutez le jus d'1/2 citron. Mélangez vivement. Une foisle gâteau complétement refroidi, nappez-le avec ce glaçage. Décorez alors votre gâteau avec le crayon pâtissier vahiné et des décors en sucre ou des copeaux de chocolats Vahiné., Sucre, huile végétal, pâte de noisette 13,9%, lactosérum en poudre (lactose et protéines de lait), poudre de cacao maigre, émulsifiant : lécithine de soja, arômes.]|"
107,83€ / Kg"|"
2,48 €"
192|Gousse de vanille intense, origine Indonésie, certifié AB|Le blister de 3g|[Origine : FRANCE, Pour vous offrir une vanille d'exception, Vahiné a été chercher une vanille d'origine biologique, 100% naturelle, qui restituera dans vos desserts toute sa richesse.Cultivée dans la région SAVA (Sambava, Antalaha, Vohémar, Andapa) au Nord Est de Madagascar, cette vanille de type planifolia a été choisie pour son intensité aromatique et sa richesse en vanilline., Les petites graines de cette gousse d'exception égayeront et ensoleilleront vos desserts et plus spécialement vos entremets et crèmes brûlées. Fendez-la puis, à l'aide d'un couteau, détachez les grains noirs aromatiques qu'elle contient pour les répandre dans votre préparation. Si de petits cristaux blancs apparaissent sur votre vanille, ce n'est pas un problème de conservation de votre produit mais un phénomène naturel gage de son taux élevé en vanilline. Produit sujet à dessiccation., Gousse de vanille issue de l'agriculture biologique., Vous pouvez conserver une gousse de vanille en la laissant dans un pot de sucre.]|"
1180,00€ / Kg"|"
3,54 €"
193|Pate a sucre bleue|Le paquet de 250g|[Origine : DANEMARK, Facile à étaler et à modeler. Goût vanillé., Etalez la pâte avec un rouleau à pâtisserie, sur un plan de travail saupoudré de sucre glace pour éviter que la pâte ne colle., Sucre, sirop de glucose, matière grasse végétale (palme et palmiste), eau, stabilisants: glycérol, gomme xanthane, E466, émulsifiant : E472c, arôme, colorant : E133, conservateur : sorbate de potassium., Valeur énergétique en Joules :  1680kj, Valeur énergétique en Kcal : 400kcal, Glucides : 88g, Lipides : 5,g, Protides :0g, A conserver à l'abri de la chaleur, de la lumière et de l'humidité. Après ouverture, conserver dans une boîte hermétique et consommer rapidement.]|"
15,20€ / Kg"|"
3,80 €"
194|Pépites de chocolat|Le sachet de 100g|[Origine : FRANCE, Vahiné a sélectionné ces pépites de chocolat noir, à 50% de cacao d'origine Côte d'Ivoire, pour agrémenter d'un geste simple tous vos desserts : muffins, cakes, gâteaux au yaourt Idéales aussi pour réaliser une mousse au chocolat ou décorer une coupede glace. Vahiné c'est gonflé ! Nouvelle recette à la teneur en cacao supérieure (50% min au lieu de 44% min)., Le chocolat est un produit sensible aux écarts de température. Il est possible qu'il blanchisse. Ce changement de couleur n'altère en rien le goût et la qualité du produit., Sucre, pâte de cacao (origine Côte d'Ivoire), beurre de cacao, poudre de cacao maigre, émulsifiant : lécithine de soja, arôme naturel de vanille. Contient des traces de lait. Conditionné dans un atelier travaillant des fruits à coque., A conserver à l'abri de la chaleur et de l'humidité.]|"
28,70€ / Kg"|"
2,87 €"
195|Préparation pour fixer la chantilly|Les 3 sachets de 6,5g|[Origine : FRANCE, Vahiné vous propose Fixe Chantilly pour vous permettre de réaliser facilement une crème chantilly ferme et onctueuse., Pour 1 /4 de litre de crème fraîche liquide (ou épaisse) : fouettez la crème fraîche dans une terrine pendant 1 minute. Ajoutez 1 sachet de Fixe Chantilly mélangé à 50 g de sucre en poudre. Continuez de fouetter jusqu'à obtention d'une consistance ferme. Conservez au frais. Notre conseil : si vous souhaitez obtenir une crème Chantilly plus légère, utilisez 1 sachet de Fixe Chantilly pour 1 litre de crème fraîche., Dextrose, amidon modifié, gélifiant : E407, arôme. Préparation dans un atelier travaillant oeuf, lait, soja.]|"
53,16€ / Kg"|"
1,01 €"
196|Sucre doré|Le flacon de 82g|[Origine : FRANCE, Sucre coloré., Sucre, colorants E171, E172, agent d'enrobage : shellac, matière grasse végétale. Contient des traces de soja, lait, fruits à coque., A conserver à l'abri de la chaleur et de l'humidité.]|"
38,66€ / Kg"|"
3,17 €"
197|Sucre vanillé à l'extrait naturel de vanille|Les 10 sachets de 7,5g|[Origine : FRANCE, Sucre, extrait naturel de gousse de vanille, amidon de maïs.]|"
36,93€ / Kg"|"
2,77 €"
198|36 dosettes de café corsé et généreux pour machines à dosettes   souples et percolateurs|Le sachet de 250g|[Origine : FRANCE, Café moulu en dosettes souples individuelles., Dosettes spécialement adaptées aux machines à dosettes souples et percolateurs. Pour préparer votre tasse, introduisez une dosette dans le porte filtre de votre machine à dosettes ou de votre percolateur et pressez si nécessaire la dosette de façon àce qu'elle épouse bien la forme du porte filtre., Café 100%., Après ouverture, pour préserver le plus longtemps possible tout l'arôme de vos dosettes de café, refermez bien votre sachet à l'aide de l'adhésif et conservez-le de préférence au réfrigérateur. Conditionné sous atmosphère protectrice.]|"
12,96€ / Kg"|"
3,24 €"
199|Café moulu Laos et Guatemala robusta & arabica, certifié AB|Le paquet de 250g|[Origine : FRANCE, Café issu de l'agriculture biologique dont 66% robusta Laos et 34% arabica Guatemala.]|"
12,88€ / Kg"|"
3,22 €"
200|Café moulu pur arabica, Ethiopie|Le paquet de 250g|[Origine : FRANCE, Utilisez de préférence une eau non calcaire. Humectez le filtre. Dosez une cuillère à soupe de café plus ou moins pleine par tasse selon votre goût., Café moulu pur arabica d'Ethiopie., Valeur énergétique en Joules :  0, Valeur énergétique en Kcal : 0, Glucides : 0, Lipides : 0, Protides :0, A conserver à l'abri de la chaleur et de l'humidité. Après ouverture bien refermer le sachet et le conserver dans une boite hermétique. Emballé sous vide compensé par atmosphère protectrice.]|"
12,56€ / Kg"|"
3,14 €"
201|Café moulu pur arabica, intense|Les 2 paquets de 250g|[Origine : FRANCE, Nos équipes recherchent , sélectionnent et contrôlent les grands crus de par le monde pour vous garantir des instants d'intenses sensations .Ce café moulu est le résultat d'une alliance subtile des meilleurs crus d'arabicas d'origine., Humecter le filtre de votre cafetière à l'eau froide , utilisez de préférence une eau neutre ( ni calcaire , ni chlorée ). Versez une cuillère à soupe de café par tasse , plus ou moins pleine suivant la force désirée., Café moulu 100% arabica, A conserver à température ambiante . Après ouverture , pour préserver le plus longtemps possible tout l'arôme de votre café , conservez-le de préférence au réfrigérateur dans une boîte hermétique]|"
7,92€ / Kg"|"
3,96 €"
202|Café moulu pur arabica Brésil, équilibré et doux|Le paquet de 250g|[Origine : FRANCE, Ce café est le résultat d'une alliance de purs arabicas sélectionnés pour leur douceur et leur équilibre., Pour profiter pleinement des qualités de votre café, humectez le filtre de votre cafetière à l'eau froide, utilisez de préférence une eau neutre (ni calcaire, ni chlorée). Versez une cuillère à soupe de café par tasse, plus ou moins pleine, suivant la force désirée., Café arabica du Brésil 100%., Avant ouverture : à conserver à température ambiante. Après ouverture : pour préserver le plus longtemps possible tout l'arôme de votre café, conservez-le de préférence au réfrigérateur dans une boîtehermétique. Emballé sous vide.]|"
11,32€ / Kg"|"
2,83 €"
203|Café moulu pur arabica Espresso Doux, capsules biodégradables doux & harmonieux|La boite de 10 capsules soit 50g|[Origine : FRANCE, Toute la douceur et le parfum d'un pur arabica alliant intensité et rondeur, agrémenté de notes fruitées et délicatement épicées. Idéal pour le matin., Café moulu pur arabica., A conserver à l'abri de la chaleur et de l'humidité et à consommer de préférence dans le mois qui suit l'ouverture du sachet.]|"
57,40€ / Kg"|"
2,87 €"
